A - 2  DECADAL VARIATION  IN  POPULATION  SINCE  1901,,,,,,,,,,,,,,,,,,,
,,India/State/,Census,Persons,Variation since the ,,Males,Females,,,,,,,,,,,
,,Union Territory,Year,,preceding census,,,,,,,,,,,,,,
,,,,,Absolute,Percentage,,,,,,,,,,,,,
,,3,4,5,6,7,8,9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,INDIA,  1901 $," 23,83,96,327 ",                ---,              ---," 12,07,91,301 "," 11,73,58,672 ",,,,,,,,,,,
,,,1911," 25,20,93,390 "," + 13,697,063 ",+5.75," 12,83,85,368 "," 12,37,08,022 ",,,,,,,,,,,
,,,1921," 25,13,21,213 "," - 772,177 ",- 0.31," 12,85,46,225 "," 12,27,74,988 ",,,,,,,,,,,
,,,   1931 $," 27,89,77,238 "," +27,656,025 ",+11.00," 14,29,29,689 "," 13,57,88,921 ",,,,,,,,,,,
,,,   1941 $," 31,86,60,580 "," +39,683,342 ",+14.22," 16,36,85,302 "," 15,46,90,267 ",,,,,,,,,,,
,,,    1951 @," 36,10,88,090 "," +42,420,485 ",+13.31," 18,55,28,462 "," 17,55,59,628 ",,,,,,,,,,,
,,,    1961 @," 43,92,34,771 "," +77,682,873 ",+21.51," 22,62,93,201 "," 21,29,41,570 ",,,,,,,,,,,
,,,1971," 54,81,59,652 "," +108,924,881 ",+24.80," 28,40,49,276 "," 26,41,10,376 ",,,,,,,,,,,
,,,     1981 #  ," 68,33,29,097 "," +135,169,445 ",+24.66," 35,33,74,460 "," 32,99,54,637 ",,,,,,,,,,,
,,,   1991 +," 84,64,21,039 "," +163,091,942 ",+23.87," 43,93,58,440 "," 40,70,62,599 ",,,,,,,,,,,
,,,     2001 ++," 1,02,87,37,436 "," +182,316,397 ",+21.54," 53,22,23,090 "," 49,65,14,346 ",,,,,,,,,,,
,,,2011," 1,21,08,54,977 ","+18,21,17,541",+17.70," 62,32,70,258 "," 58,75,84,719 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
